"ts_code";"symbol";"name";"area";"industry";"fullname";"enname";"market";"exchange";"curr_type";"list_status";"list_date";"delist_date";"is_hs";"live_year"
"603629.SH";"603629";"利通电子";"江苏";"元器件";"江苏利通电子股份有限公司";"Jiangsu Lettall Electronic Co.,Ltd.";"主板";"SSE";"CNY";"L";"2018";"";"N";"4"
"603630.SH";"603630";"拉芳家化";"广东";"日用化工";"拉芳家化股份有限公司";"Lafang China Co.,Ltd";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603633.SH";"603633";"徕木股份";"上海";"元器件";"上海徕木电子股份有限公司";"Shanghai Laimu Electronics Co.,Ltd";"主板";"SSE";"CNY";"L";"2016";"";"N";"6"
"603636.SH";"603636";"南威软件";"福建";"软件服务";"南威软件股份有限公司";"Linewell Software Co., Ltd.";"主板";"SSE";"CNY";"L";"2014";"";"N";"8"
"603637.SH";"603637";"镇海股份";"浙江";"建筑工程";"镇海石化工程股份有限公司";"Zhenhai Petrochemical Engineering Co., Ltd";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603638.SH";"603638";"艾迪精密";"山东";"专用机械";"烟台艾迪精密机械股份有限公司";"Yantai Eddie Precision Machinery Co.,Ltd";"主板";"SSE";"CNY";"L";"2017";"";"H";"5"
"603639.SH";"603639";"海利尔";"山东";"农药化肥";"海利尔药业集团股份有限公司";"Hailir Pesticides and Chemicals group Co.,Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603648.SH";"603648";"畅联股份";"上海";"仓储物流";"上海畅联国际物流股份有限公司";"Shanghai Shine-Link International Logistics Co., Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603650.SH";"603650";"彤程新材";"上海";"化工原料";"彤程新材料集团股份有限公司";"Red Avenue New Materials Group Co., Ltd.";"主板";"SSE";"CNY";"L";"2018";"";"H";"4"
"603655.SH";"603655";"朗博科技";"江苏";"汽车配件";"常州朗博密封科技股份有限公司";"Changzhou Langbo Sealing Technologies Co.,Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603656.SH";"603656";"泰禾智能";"安徽";"专用机械";"合肥泰禾智能科技集团股份有限公司";"Hefei Taihe Intelligent Technology Group Co.,Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603657.SH";"603657";"春光科技";"浙江";"家用电器";"金华春光橡塑科技股份有限公司";"Jinhua Chunguang Technology Co.,Ltd";"主板";"SSE";"CNY";"L";"2018";"";"N";"4"
