"ts_code";"bigdata_num";"data_warehouse";"cloud_computing";"information_assets";"digitization";"ann_date";"year"
"600604";"0";"0";"4";"0";"0";"2012";"2012"
"603378";"0";"0";"0";"0";"0";"2018";"2018"
"000513";"0";"0";"0";"0";"0";"2015";"2015"
"000514";"0";"0";"0";"0";"0";"2009";"2009"
"600794";"0";"0";"0";"0";"0";"2016";"2016"
"000514";"0";"0";"0";"0";"0";"2013";"2013"
"603378";"1";"0";"1";"0";"1";"2019";"2019"
"603378";"0";"0";"0";"0";"0";"2020";"2020"
"603379";"0";"0";"0";"0";"0";"2019";"2019"
"600794";"0";"0";"0";"0";"0";"2017";"2017"
"600794";"0";"0";"0";"0";"0";"2018";"2018"
"600794";"0";"0";"0";"0";"0";"2019";"2019"
"000514";"0";"0";"0";"0";"0";"2014";"2014"
"600795";"0";"0";"0";"0";"0";"2009";"2009"
"603380";"0";"0";"0";"0";"0";"2017";"2017"
"600795";"0";"0";"0";"0";"0";"2010";"2010"
"600795";"0";"0";"0";"0";"2";"2011";"2011"
"603380";"0";"0";"0";"0";"0";"2018";"2018"
"000514";"0";"0";"0";"0";"0";"2016";"2016"
"603380";"0";"0";"0";"0";"0";"2019";"2019"
"603383";"1";"0";"1";"0";"0";"2017";"2017"
"600604";"0";"0";"4";"0";"0";"2013";"2013"
"603383";"0";"0";"0";"0";"0";"2018";"2018"
"000514";"0";"0";"0";"0";"0";"2017";"2017"
"603383";"0";"0";"0";"0";"0";"2019";"2019"
"600604";"0";"0";"0";"0";"0";"2015";"2015"
"600604";"8";"0";"5";"0";"0";"2016";"2016"
"603385";"0";"0";"0";"0";"0";"2017";"2017"
"603385";"0";"0";"0";"0";"0";"2018";"2018"
"603385";"1";"0";"0";"0";"0";"2019";"2019"
"000514";"1";"0";"0";"0";"0";"2018";"2018"
"603386";"0";"0";"0";"0";"0";"2019";"2019"
"000514";"0";"0";"0";"0";"0";"2019";"2019"
"600604";"0";"0";"0";"0";"0";"2017";"2017"
"600604";"12";"0";"0";"0";"0";"2018";"2018"
"600604";"12";"0";"1";"0";"0";"2019";"2019"
"600605";"0";"0";"0";"0";"0";"2009";"2009"
"603387";"0";"0";"0";"0";"0";"2017";"2017"
"600605";"0";"0";"0";"0";"0";"2010";"2010"
"600605";"0";"0";"0";"0";"0";"2011";"2011"
"600605";"0";"0";"0";"0";"0";"2012";"2012"
"600605";"0";"0";"0";"0";"0";"2013";"2013"
"603387";"0";"0";"0";"0";"0";"2018";"2018"
"600605";"0";"0";"0";"0";"0";"2014";"2014"
"600605";"0";"0";"0";"0";"0";"2016";"2016"
"603387";"5";"0";"2";"0";"1";"2019";"2019"
"603387";"0";"0";"0";"0";"0";"2020";"2020"
"600605";"0";"0";"0";"0";"0";"2017";"2017"
"600605";"0";"0";"0";"0";"0";"2018";"2018"
"000517";"0";"0";"0";"0";"0";"2009";"2009"
"600605";"0";"0";"0";"0";"0";"2019";"2019"
"000517";"0";"0";"0";"0";"0";"2010";"2010"
"600606";"0";"0";"0";"0";"0";"2009";"2009"
"603388";"0";"0";"0";"0";"0";"2017";"2017"
"603388";"0";"0";"0";"0";"0";"2018";"2018"
"600606";"0";"0";"0";"0";"0";"2010";"2010"
"000517";"0";"0";"0";"0";"0";"2011";"2011"
"600606";"0";"0";"0";"0";"0";"2011";"2011"
"600606";"0";"0";"0";"0";"0";"2012";"2012"
"600606";"0";"0";"0";"0";"0";"2013";"2013"
"603388";"0";"0";"0";"0";"0";"2019";"2019"
"000517";"0";"0";"0";"0";"0";"2012";"2012"
"600606";"0";"0";"0";"0";"0";"2014";"2014"
"603389";"0";"0";"0";"0";"0";"2016";"2016"
"000517";"0";"0";"0";"0";"0";"2013";"2013"
"603389";"0";"0";"0";"0";"0";"2017";"2017"
"603389";"0";"0";"0";"0";"0";"2018";"2018"
"000517";"0";"0";"0";"0";"0";"2014";"2014"
"000517";"0";"0";"0";"0";"0";"2015";"2015"
"603389";"0";"0";"0";"0";"0";"2019";"2019"
"000517";"0";"0";"0";"0";"0";"2016";"2016"
"000517";"0";"0";"0";"0";"0";"2018";"2018"
"603390";"0";"0";"0";"0";"0";"2019";"2019"
"600795";"0";"0";"0";"0";"0";"2012";"2012"
"600797";"22";"0";"11";"0";"2";"2017";"2017"
"600797";"14";"0";"4";"0";"1";"2018";"2018"
"600798";"0";"0";"0";"0";"0";"2009";"2009"
"600798";"0";"0";"0";"0";"0";"2010";"2010"
"600798";"0";"0";"0";"0";"0";"2011";"2011"
"600798";"0";"0";"0";"0";"0";"2012";"2012"
"603393";"0";"0";"0";"0";"0";"2016";"2016"
"000517";"0";"0";"0";"0";"0";"2019";"2019"
"600606";"0";"0";"0";"0";"0";"2015";"2015"
"000518";"0";"0";"0";"0";"0";"2009";"2009"
"600606";"0";"0";"0";"0";"0";"2016";"2016"
"600606";"0";"0";"0";"0";"0";"2017";"2017"
"600606";"0";"0";"0";"0";"0";"2018";"2018"
"000518";"0";"0";"0";"0";"0";"2010";"2010"
"000518";"0";"0";"0";"0";"0";"2011";"2011"
"000518";"0";"0";"0";"0";"0";"2012";"2012"
"000518";"0";"0";"0";"0";"0";"2013";"2013"
"600798";"0";"0";"0";"0";"0";"2014";"2014"
"603393";"0";"0";"0";"0";"0";"2017";"2017"
"000518";"0";"0";"0";"0";"0";"2014";"2014"
"600798";"0";"0";"0";"0";"0";"2015";"2015"
"600798";"0";"0";"0";"0";"0";"2016";"2016"
"000518";"0";"0";"0";"0";"0";"2015";"2015"
"000518";"0";"0";"0";"0";"0";"2016";"2016"
"000518";"0";"0";"0";"0";"0";"2018";"2018"
"603393";"0";"0";"0";"0";"0";"2018";"2018"
"600798";"0";"0";"0";"0";"0";"2017";"2017"
"600798";"0";"0";"0";"0";"0";"2018";"2018"
"600798";"0";"0";"0";"0";"0";"2019";"2019"
"000518";"0";"0";"0";"0";"0";"2019";"2019"
"600800";"0";"0";"0";"0";"0";"2009";"2009"
"600800";"0";"0";"0";"0";"0";"2010";"2010"
"600800";"0";"0";"0";"0";"0";"2011";"2011"
"600606";"0";"0";"0";"0";"0";"2019";"2019"
"600800";"1";"0";"0";"0";"0";"2012";"2012"
"600800";"0";"0";"0";"0";"1";"2015";"2015"
"603393";"0";"0";"0";"0";"0";"2019";"2019"
"600800";"0";"0";"0";"0";"1";"2016";"2016"
"603396";"0";"0";"0";"0";"0";"2017";"2017"
